loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state
7500,7500,7500, 36 months,16.14,264.2,C,C4,lab tech,10+ years,OWN,50000,Source Verified,Dec-18,Current,home_improvement,Home improvement,280xx,NC
30000,30000,30000, 36 months,16.91,1068.24,C,C5,customer service,10+ years,RENT,,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,088xx,NJ
3775,3775,3775, 36 months,13.56,128.22,C,C1,,,OWN,5000,Source Verified,Dec-18,Current,home_improvement,Home improvement,425xx,KY
5600,5600,5600, 36 months,11.31,184.17,B,B3,,,RENT,20166,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,066xx,CT
6000,6000,6000, 36 months,16.14,211.36,C,C4,Facility Maintenance Tech,3 years,RENT,40000,Source Verified,Dec-18,Current,other,Other,217xx,MD
16000,16000,16000, 36 months,15.02,554.81,C,C3,Plumber,4 years,,50000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,368xx,AL
15000,15000,15000, 36 months,16.14,528.4,C,C4,asst.mgr,3 years,RENT,60000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,301xx,GA
21000,21000,21000, 60 months,15.02,499.81,C,C3,Police Captain,10+ years,,109000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,537xx,WI
25000,25000,25000, 60 months,20.89,674.79,,,Veterinary Assistant ,1 year,MORTGAGE,70000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,273xx,NC
1000,1000,975, 36 months,8.19,31.43,,,Project manager,10+ years,MORTGAGE,78000,Source Verified,Dec-18,Current,other,Other,980xx,WA
16000,16000,16000, 60 months,20.89,431.87,D,D4,Regional Manager,10+ years,RENT,200000,Verified,Dec-18,Current,credit_card,Credit card refinancing,282xx,NC
8500,8500,8500, 36 months,16.91,302.67,C,C5,DIRECT CARE PROVIDER,7 years,MORTGAGE,70200,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,226xx,VA
30000,30000,30000, 36 months,22.35,1151.16,D,D5,Supervisor ,5 years,MORTGAGE,100000,Source Verified,Dec-18,Fully Paid,debt_consolidation,Debt consolidation,917xx,CA
3000,3000,3000, 36 months,8.81,95.14,A,A5,,,RENT,71250,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,984xx,WA
16000,16000,16000, 36 months,23.4,622.7,E,E1,account manager,10+ years,MORTGAGE,140000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,913xx,CA
8000,8000,8000, 36 months,12.98,269.48,,,Controller,4 years,MORTGAGE,95000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,480xx,MI
30000,30000,30000, 60 months,17.97,761.32,D,D1,senior buyer,10+ years,MORTGAGE,65000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,917xx,CA
6000,6000,6000, 36 months,14.47,206.44,C,C2,Manager,10+ years,RENT,55000,Verified,Dec-18,Current,credit_card,Credit card refinancing,104xx,NY
5000,5000,5000, 36 months,12.98,168.43,B,B5,Consultant,2 years,RENT,80000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,100xx,NY
10000,10000,10000, 36 months,16.14,352.27,C,C4,,< 1 year,,90000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,934xx,CA
20000,20000,20000, 60 months,16.14,487.86,C,C4,Sales,10+ years,MORTGAGE,30000,,Dec-18,Current,other,Other,629xx,IL
22650,22650,22650, 36 months,10.72,738.54,,,President,7 years,,,Not Verified,Dec-18,Current,home_improvement,Home improvement,346xx,FL
10000,10000,10000, 36 months,11.31,328.86,,,Nurse technician,2 years,OWN,35000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,989xx,WA
24000,24000,24000, 36 months,10.33,778.14,B,B1,Maintenance Manager,10+ years,MORTGAGE,100000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,606xx,IL
4000,4000,4000, 36 months,18.94,146.51,D,D2,Math Instructor,< 1 year,,37000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,646xx,MO
30000,30000,30000, 36 months,15.02,1040.26,C,C3,Firefighter ,10+ years,RENT,90000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,681xx,NE
11000,11000,11000, 36 months,16.14,387.49,C,C4,Senior Area Sales Manager,3 years,MORTGAGE,240000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,482xx,MI
24000,24000,24000, 60 months,13.56,552.98,C,C1,Director of reinsurance ,10+ years,MORTGAGE,125000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,600xx,IL
18000,18000,18000, 60 months,10.72,388.86,B,B2,Office Manager,10+ years,MORTGAGE,32000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,928xx,CA
18000,18000,18000, 36 months,8.81,570.81,,,Sever,< 1 year,RENT,40000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,100xx,NY
5525,5525,5525, 36 months,15.02,191.59,,,Vice President,10+ years,,118000,Not Verified,Dec-18,Current,car,Car financing,322xx,FL
2525,2525,2525, 36 months,16.91,89.92,C,C5,Tech Driver,1 year,RENT,,Verified,Dec-18,Current,credit_card,Credit card refinancing,325xx,FL
32000,32000,32000, 60 months,14.47,752.41,C,C2,Teacher,10+ years,MORTGAGE,110000,Source Verified,Dec-18,Current,home_improvement,Home improvement,152xx,PA
16000,16000,16000, 36 months,25.34,639.04,E,E3,Operations Manager,2 years,RENT,52000,,Dec-18,Current,debt_consolidation,Debt consolidation,220xx,VA
16000,16000,16000, 36 months,14.47,550.51,C,C2,,< 1 year,RENT,200000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,152xx,PA
18500,18500,18500, 60 months,12.98,420.75,B,B5,Supply Chain Analyst,5 years,RENT,96500,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,554xx,MN
3000,3000,2975, 36 months,10.72,97.82,B,B2,,,MORTGAGE,30000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,778xx,TX
23000,23000,23000, 60 months,19.92,608.34,D,D3,,,OWN,75000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,109xx,NY
1500,1500,1500, 36 months,17.97,54.21,D,D1,Product Line Specilalist ,10+ years,MORTGAGE,56160,Verified,Dec-18,Current,other,Other,212xx,MD
24000,24000,24000, 60 months,12.98,545.83,,,Medical Doctor,10+ years,MORTGAGE,380000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,704xx,LA
5000,5000,5000, 36 months,16.14,176.14,C,C4,Enrollment Services Advisor,3 years,RENT,50000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,921xx,CA
25000,25000,25000, 36 months,10.33,810.56,B,B1,Army,10+ years,MORTGAGE,80000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,292xx,SC
2500,2500,2500, 36 months,20.89,94.05,D,D4,Room Attendant,3 years,RENT,29000,Source Verified,Dec-18,Current,other,Other,115xx,NY
12000,12000,12000, 60 months,14.47,282.16,C,C2,MAINTENANCE ,10+ years,RENT,62000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,030xx,NH
9600,9600,9600, 36 months,23.4,373.62,E,E1,Sales VP,3 years,RENT,100000,Not Verified,Dec-18,Current,small_business,Business,432xx,OH
10000,10000,10000, 36 months,11.31,328.86,B,B3,,,MORTGAGE,10020,Verified,Dec-18,Current,other,Other,925xx,CA
7000,7000,7000, 36 months,15.02,242.73,C,C3,General Manager ,7 years,,52000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,028xx,RI
8000,8000,8000, 36 months,23.4,311.35,E,E1,Medical Coder,1 year,RENT,49400,Verified,Dec-18,Current,other,Other,917xx,CA
5000,5000,5000, 36 months,16.14,176.14,C,C4,Plant Logistics Manager,< 1 year,MORTGAGE,115000,Not Verified,Dec-18,Current,other,Other,685xx,NE
10000,10000,10000, 36 months,10.33,324.23,B,B1,,< 1 year,MORTGAGE,280000,,Dec-18,Current,debt_consolidation,Debt consolidation,974xx,OR
8000,8000,8000, 36 months,10.33,259.38,B,B1,Optician,6 years,MORTGAGE,38000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,159xx,PA
4000,4000,4000, 36 months,18.94,146.51,D,D2,,,,19000,Not Verified,Dec-18,Current,major_purchase,Major purchase,936xx,CA
24000,24000,24000, 60 months,11.31,525.54,,,Bill Collector,1 year,MORTGAGE,72000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,606xx,IL
25000,25000,25000, 60 months,16.14,609.82,C,C4,Production Manager,5 years,MORTGAGE,45000,,Dec-18,Current,debt_consolidation,Debt consolidation,703xx,LA
3000,3000,3000, 36 months,17.97,108.42,D,D1,Cna,7 years,MORTGAGE,33000,Source Verified,Dec-18,Current,other,Other,750xx,TX
35000,35000,35000, 60 months,18.94,906.77,D,D2,Financial Advisor,10+ years,RENT,90000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,432xx,OH
8800,8800,8800, 36 months,16.91,313.35,C,C5,,< 1 year,MORTGAGE,21000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,778xx,TX
10500,10500,10500, 60 months,11.8,232.51,B,B4,,,OWN,36000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,857xx,AZ
25000,25000,25000, 60 months,14.47,587.82,C,C2,City Crrier,3 years,MORTGAGE,65000,Verified,Dec-18,Current,credit_card,Credit card refinancing,054xx,VT
5500,5500,5500, 36 months,11.31,180.88,,,Engineer,5 years,MORTGAGE,98000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,775xx,TX
12000,12000,12000, 60 months,14.47,282.16,,,Reimbursement specialist ,6 years,MORTGAGE,39000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,130xx,NY
8500,8500,8500, 36 months,16.14,299.43,C,C4,Asst. Manager,8 years,MORTGAGE,80000,Not Verified,Dec-18,Current,home_improvement,Home improvement,756xx,TX
35000,35000,35000, 60 months,20.89,944.71,D,D4,Instructor for Training Squadron,10+ years,RENT,80000,Verified,Dec-18,Current,other,Other,796xx,TX
8250,8250,8250, 36 months,17.97,298.14,D,D1,Driver ,10+ years,MORTGAGE,68000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,350xx,AL
40000,40000,40000, 60 months,16.14,975.71,C,C4,Assistant to the Treasurer (Payroll),< 1 year,MORTGAGE,45000,Verified,Dec-18,Fully Paid,credit_card,Credit card refinancing,456xx,OH
20000,20000,20000, 36 months,10.33,648.45,B,B1,UPS/Shipping,10+ years,MORTGAGE,60000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,458xx,OH
18000,18000,18000, 36 months,8.81,570.81,A,A5,Attorney-Adviser,3 years,RENT,100203,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,200xx,DC
11000,11000,11000, 36 months,14.47,378.47,C,C2,Teacher,10+ years,,89000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,087xx,NJ
12000,12000,12000, 36 months,16.14,422.72,C,C4,Sales Account Manager,4 years,RENT,70000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,333xx,FL
15000,15000,15000, 60 months,13.56,345.62,C,C1,,< 1 year,RENT,72000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,300xx,GA
4000,4000,4000, 36 months,16.91,142.44,C,C5,Vacation Advisor,5 years,,54000,Source Verified,Dec-18,Current,home_improvement,Home improvement,347xx,FL
32000,32000,32000, 60 months,12.98,727.78,B,B5,Manager,4 years,MORTGAGE,70000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,339xx,FL
15000,15000,15000, 60 months,14.47,352.69,C,C2,Operation s director,10+ years,MORTGAGE,120000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,295xx,SC
18000,18000,18000, 60 months,14.47,423.23,C,C2,Machinst/Programer,7 years,MORTGAGE,60000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,841xx,UT
13000,13000,13000, 36 months,17.97,469.79,D,D1,Help Tech Supervisor,10+ years,MORTGAGE,92360,Source Verified,Dec-18,Current,home_improvement,Home improvement,300xx,GA
10000,10000,10000, 36 months,16.14,352.27,C,C4,Operations Coordinator ,1 year,MORTGAGE,63000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,601xx,IL
3600,3600,3600, 36 months,11.8,119.23,B,B4,Analyst,5 years,MORTGAGE,,Source Verified,Dec-18,Current,other,Other,427xx,KY
22000,22000,22000, 60 months,11.8,487.16,B,B4,Corporate Communications Strategist,10+ years,MORTGAGE,155000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,462xx,IN
10450,10450,10450, 36 months,18.94,382.74,D,D2,Project Manager,10+ years,MORTGAGE,70000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,371xx,TN
10000,10000,10000, 36 months,11.8,331.19,B,B4,Service tech.,9 years,RENT,100000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,945xx,CA
10000,10000,10000, 36 months,18.94,366.26,D,D2,Especialist 1,7 years,MORTGAGE,37115,Not Verified,Dec-18,Current,other,Other,891xx,NV
